2020年12月4日，中国科学技术大学宣布该校潘建伟等人成功构建76个光子的量子计算原型机(  )，求解数学算法高斯玻色取样只需200秒，世界最快的超级计算机要用6亿年。这一突破使中国成为全球第二个实现“量子优越性”的国家。
A. 机器语言
B. 汇编语言
C. 高级语言
D. 自然语言
正确答案: A:机器语言;

计算机辅助教学的英文缩写是(  )。
A. CAD
B. CAM
C. CAE
D. CAI
正确答案: D:CAI;

二进制1111001100转换成十六进制数是(  )。
A. 369H
B. 3ABH
C. 3CDH
D. 3CCH
正确答案: D:3CCH;

汉字国标码GB2312规定的汉字编码，每个汉字用(  )。
A. 1个字节表示
B. 2个字节表示
C. 3个字节表示
D. 4个字节表示
正确答案: B:2个字节表示;

微型计算机性能指标中所说的内存，一般是指(  )。
A. 随机存储器RAM
B. 只读存储器ROM
C. 可编程只读存储器PROM
D. 可改写只读存储器EROM
正确答案: A:随机存储器RAM;

Windows文件系统是(  )。
A. 星状结构
B. 环状结构
C. 网状结构
D. 树状结构
正确答案: D:树状结构;

从已知的初始条件出发，逐次推出所要求的各中间结果和最后结果的算法是(  )。
A. 迭代
B. 列举
C. 递归
D. 查找
正确答案: A:迭代;

对于有序列表使用的查找算法是(  )。
A. 顺序查找
B. 折半查找
C. 冒泡查找
D. 排序查找
正确答案: B:折半查找;

算法执行过程中所需的存储空间称为算法的(  )。
A. 时间复杂度
B. 空间复杂度
C. 计算工作量
D. 工作空间
正确答案: B:空间复杂度;

人工智能的目的是让机器能够(  )，以实现某些脑力劳动的机械化。
A. 具有智能
B. 和人一样工作
C. 完全代替人的大脑
D. 模拟、延伸和扩展人的智能
正确答案: D:模拟、延伸和扩展人的智能;

ISP是(  )。
A. 文件传输协议
B. 超文本传输协议
C. Internet服务提供商
D. Internet连接协议
正确答案: C:Internet服务提供商;

从网址www.name.edu.cn可以看出该网站属于(  )。
A. 商业部门
B. 政府部门
C. 教育部门
D. 科技部门
正确答案: C:教育部门;

设置在被保护的内部网络和外部网络之间的软件和硬件设备的组合，对内网和外网之间的通信进行控制的设施是(  )。
A. 防火墙
B. 访问控制
C. 数据加密
D. 病毒实时监控
正确答案: A:防火墙;

中国(  )卫星导航系统是中国自行研制的全球卫星导航系统，也是继美国GPS、俄罗斯GLONASS之后的第三个成熟的卫星导航系统。
A. 北斗
B. 天河
C. 银河
D. 嫦娥
正确答案: A:北斗;

物联网层次结构不包括()。
A. 感知层
B. 网络层
C. 应用层
D. 会话层
正确答案: D:会话层;
一. 单选题（共20题，10）
下列关于世界上第一台电子计算机ENIAC的叙述中，不正确的是(  )。
A. ENIAC是1946年在美国诞生的
B. 它主要采用电子管和继电器
C. 它首次采用存储程序和程序控制使计算机自动工作
D. 它主要用于弹道计算
正确答案: C:它首次采用存储程序和程序控制使计算机自动工作;

计算机硬件包括运算器、(  )、存储器、输入设备和输出设备。
A. 控制器
B. 显示器
C. 驱动器
D. 硬盘
正确答案: A:控制器;

计算机将程序和数据同时存放在机器的(  )中。
A. 控制器
B. 存储器
C. 输入/输出设备
D. 运算器
正确答案: B:存储器;

微型计算机的系统总线是CPU与其它部件之间传送(  )信息的公共通道。
A. 输入、输出、运算
B. 输入、输出、控制
C. 程序、数据、运算
D. 数据、地址、控制
正确答案: D:数据、地址、控制;

华为(  )系统是具有自主产权操作系统，是一款全新的面向全场景的分布式操作系统，创造一个超级虚拟终端互联的世界。
A. 鸿蒙
B. 麒麟
C. 欧拉
D. 统信
正确答案: A:鸿蒙;

用户用计算机高级语言编写的程序，通常称为(  )。
A. 汇编程序
B. 目标程序
C. 源程序
D. 二进制代码程序
正确答案: C:源程序;

将十进制数100转换成二进制数是(  )。
A. 1100100
B. 1100011
C. 00000100
D. 10000000
正确答案: A:1100100;

将十进制数100转换成十六进制数是(  )。
A. 64
B. 63
C. 100
D. 0AD
正确答案: A:64;

执行逻辑"非"运算10110101，其运算结果是(  )。
A. 01001110
B. 01010101
C. 10101010
D. 01001010
正确答案: D:01001010;

ASCII码在计算机中用 (   )Byte存放。
A. 8
B. 1
C. 2
D. 4
正确答案: B:1;

在计算机中 1Byte 无符号整数的取值范围是(  )。
A. 0~256
B. 0~255
C. -128~128
D. -127~127
正确答案: B:0~255;

多媒体中属于图像文件格式的是(  )。
A. WAV格式
B. AVI格式
C. SWF格式
D. GIF格式
正确答案: D:GIF格式;

百度建立了旅游预测模型，通过和北京市旅游委公布的景点实际人数对比，准确度达到90%以上，其利用的技术是(  )。
A. 云计算
B. 大数据
C. 物联网
D. 神经网
正确答案: B:大数据;

下面关于算法的叙述中，正确的是(  )。
A. 算法的执行效率与数据的存储结构无关
B. 算法的有穷性是指算法必须能在有限个步骤之后终止
C. 算法的空间复杂度是指算法程序中指令(或语句)的条数
D. 以上三种描述都正确
正确答案: B:算法的有穷性是指算法必须能在有限个步骤之后终止;

下列(  )不是数据库管理系统的主要功能?
A. 存储管理
B. 查询处理
C. 事务管理
D. 数据通信
正确答案: D:数据通信;

图像数据经有损压缩后，下列说法正确的是(  )
A. 图像的清晰度更高
B. 图像的色彩更鲜艳
C. 图像放大后不会失真
D. 图像的存储空间更小
正确答案: D:图像的存储空间更小;

计算机的通用性使其可以求解不同的算术和逻辑问题，这主要取决于计算机的( )。
A. 高速运算
B. 指令系统
C. 可编程性
D. 存储功能
正确答案: B:指令系统;

计算机中的指令和数据采用(  )存储。
A. 十进制
B. 八进制
C. 二进制
D. 十六进制
正确答案: C:二进制;

ASCII码是 (    ) 的缩写。
A. 汉字标准信息交换代码
B. 美国标准信息交换代码
C. 英国标准信息交换代码
D. 国际标准信息交换代码
正确答案: B:美国标准信息交换代码;

一个字节是由 (   ) 个二进制位组成。
A. 2
B. 4
C. 8
D. 16
正确答案: C:8;
一. 单选题（共20题，10）
1GB等于(  )。
A. 1024B
B. 1024KB
C. 1024MB
D. 1024bit
正确答案: C:1024MB;

图像数据压缩的目的是为了(  )。
A. 符合ISO标准
B. 减少数据存储量，便于传输
C. 图像编辑的方便
D. 符合各国的电视制式
正确答案: B:减少数据存储量，便于传输;

软件危机是指(  )。
A. 在计算机软件的开发和维护过程中所遇到的一系列严重问题
B. 软件价格太高
C. 软件技术超过硬件技术
D. 软件太多
正确答案: A:在计算机软件的开发和维护过程中所遇到的一系列严重问题;

计算机软件一般分为系统软件和应用软件，以下不属于系统软件的是( )。
A. 操作系统
B. 图书管理系统
C. 数据库管理系统
D. 编译程序
正确答案: B:图书管理系统;

在下列不同进制的四个数中，最小的数是()。
A. (26)10
B. (31)8
C. (1D)16
D. (11011)2
正确答案: B:(31)8;

计算机的工作过程本质就是()的过程。
A. 取指令、分析指令、执行指令
B. 进行科学计算
C. 进行信息交换
D. 主机控制外设
正确答案: A:取指令、分析指令、执行指令;

计算机断电后，信息全部丢失的存储器是( )。
A. 硬盘
B. U盘
C. RAM
D. ROM
正确答案: C:RAM;

下面叙述正确的是(  )。
A. 操作系统只负责管理硬盘的使用，而不管理内存的使用
B. 任何计算机程序要运行都必须装入内存
C. 操作系统只负责内存的管理，而不管理外部存储器
D. 系统软件特指操作系统
正确答案: B:任何计算机程序要运行都必须装入内存;

长期存储在计算机内的有组织、可共享的数据集合是(  )。
A. 数据库管理系统
B. 数据库系统
C. 数据库
D. 文件组织
正确答案: C:数据库;

Access数据库中，表间的关系包括(  )。
A. 一对一、一对多、多对一
B. 一对一、一对多、多对多
C. 一对一、多对多
D. 一对多、多对多
正确答案: B:一对一、一对多、多对多;

Access中用于存放数据库数据的是()。
A. 表
B. 查询
C. 窗体
D. 报表
正确答案: A:表;

Access是(  )数据库管理系统。
A. 层状型
B. 网状型
C. 关系型
D. 树状型
正确答案: C:关系型;

在关系型数据库中，二维表中的一行被称为(  )。
A. 字段
B. 数据
C. 记录
D. 数据视图
正确答案: C:记录;

在关系型数据库中，二维表中的一列被称为(  )。
A. 字段
B. 数据
C. 记录
D. 数据视图
正确答案: A:字段;

在Access数据库中，有关有效性规则，下列说法正确的是(  )。
A. 有效性规则是为了保证数据的格式正确
B. 有效性规则是为了防止非法的数据输入到表中
C. 有效性规则是必须要进行设置的
D. 有效性规则是为了提高查找和排序的效率
正确答案: B:有效性规则是为了防止非法的数据输入到表中;

查询“学生”表中籍贯为石家庄和唐山的学生的SQL语句是(  )
A. DELETE FROM 学生 WHERE 籍贯 IN('石家庄','唐山')
B. SELECT * FROM 学生 WHERE 籍贯 IN(石家庄,唐山)
C. SELECT * FROM 学生 WHERE 籍贯='石家庄' AND 籍贯= '唐山'
D. SELECT * FROM 学生 WHERE 籍贯 IN('石家庄','唐山')
正确答案: D:SELECT * FROM 学生 WHERE 籍贯 IN('石家庄','唐山');

将“选课”表(其中课号为字符型)中的1002号课的所有成绩提高1，正确的SQL语句是(  )。
A. SET 选课 UPDATE 成绩=成绩+10 WHERE 课号='1002'
B. UPDATE 选课 SET 成绩+10 WHERE 课号='1002'
C. UPDATE 选课 SET 成绩=成绩+10 WHERE 课号='1002'
D. UPDATE 选课 SET 成绩=成绩+10 WHERE 课号=1002
正确答案: C:UPDATE 选课 SET 成绩=成绩+10 WHERE 课号='1002';

删除“课程”表中课程编号为“J001”的课程信息的SQL语句是(  )。
A. DELETE FROM 课程 WHERE 课程编号=J001
B. DELETE FROM 课程 WHERE 课程编号='J001'
C. SELECT * FROM 课程 WHERE 课程编号='J001'
D. DELETE * FROM课程 WHERE 课程编号=J001
正确答案: B:DELETE FROM 课程 WHERE 课程编号='J001';

在2023年的超级计算机排行榜上，中国超算中排名第一的是?(  )
A. 飞腾·太湖之光
B. 神威·太湖之光
C. 飞腾·神威
D. 光华斗士·太原
正确答案: B:神威·太湖之光;

ChatGPT是由哪家公司开发的?(  )
A. Facebook
B. Microsoft
C. Google
D. OpenAI
正确答案: D:OpenAI;
